,AUC,Accuracy,Precision at .05,Precision at .10,Precision at .2,Precision at .25,Precision at .5,Precision at .75,Precision at .85,Recall at .05,Recall at .10,Recall at .20,Recall at .25,Recall at .5,Recall at .75,Recall at .85,classifier,f1 at 0.05,f1 at 0.1,f1 at 0.2,f1 at 0.25,f1 at 0.5,f1 at 0.75,f1 at 0.85,test_time (sec),train_time (sec)
43,0.849894134877 (0.00317236424844),0.935826666667 (0.000122565175406),0.169684616326 (0.0018965710655),0.241173580454 (0.00390405249747),0.380562265799 (0.00830265606613),0.425451138832 (0.00929275902689),0.608403152504 (0.0136330191041),0.695147214746 (0.0679175614923),0.706324110672 (0.0598715298141),0.826237435741 (0.00355233803004),0.687078421939 (0.00687729622051),0.480022481516 (0.00690207148435),0.398872312162 (0.00330673017482),0.112112876616 (0.00347257221502),0.0133603265186 (0.00120249123095),0.0052890667203 (0.000876752401061),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=20, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.281545318727 (0.00279235684915),0.357023598132 (0.00520719484382),0.42449024592 (0.00637441975818),0.411640207109 (0.00254400196253),0.189278058208 (0.00456968487841),0.0262158992689 (0.00235800213121),0.0104978570244 (0.00172986645342),0.107933600744 (0.000469896037108),0.739202896754 (0.00141231805482)
44,0.854991681792 (0.00306152075349),0.936106666667 (0.000367453700787),0.16995581349 (0.00326884081766),0.243999147491 (0.00436281473757),0.386042310215 (0.0112103699426),0.433201735792 (0.00877158120556),0.634077847174 (0.0298570678092),0.710582010582 (0.079537731077),0.748538011696 (0.0720984093915),0.837819963071 (0.00293208721186),0.69825298711 (0.00675285338134),0.483208569118 (0.00689157389017),0.402636379345 (0.00462778169115),0.104417255131 (0.00420821014886),0.00917170211789 (0.00130992728918),0.00379008097818 (0.00101445231957),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=20, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.282567617657 (0.00437196756069),0.361594348756 (0.00465012840299),0.429156257519 (0.00926026571221),0.417323484673 (0.00553130353196),0.179289787258 (0.00721618482104),0.0181094525311 (0.00257922677511),0.00754061211033 (0.00201290587411),0.112418889999 (0.00111018219743),1.06212298075 (0.00647062815563)
45,0.853928108838 (0.00210014014557),0.936046666667 (0.000183545331972),0.169000655182 (0.00252396706703),0.243386946759 (0.00199254215763),0.38877448261 (0.0104423053361),0.435105127579 (0.00808081835033),0.62680013501 (0.0196614632321),0.677843915344 (0.0318452209256),0.720679012346 (0.052423727628),0.836528177181 (0.00101450315384),0.6957625318 (0.00580358406775),0.480736389232 (0.00352069486498),0.397369858495 (0.000680068110605),0.106722077211 (0.00286962363872),0.0104784027005 (0.00112098853256),0.00538659270381 (0.000429590318762),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=20, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.281182993413 (0.00345448329404),0.360622860578 (0.00294941905879),0.429848301952 (0.00769331100917),0.415339867879 (0.00331894397374),0.182364198226 (0.00456254931118),0.0206302946946 (0.00215466041958),0.0106929635135 (0.000850287200072),0.113923629125 (0.00095104658849),1.2950498263 (0.0520798047639)
46,0.856316510427 (0.00230207496952),0.93616 (0.000188325958558),0.169242040629 (0.00286826599854),0.2446056701 (0.00331415518429),0.390332728681 (0.00998746186058),0.437518796726 (0.0127560935197),0.642555035828 (0.0191161493552),0.717933006536 (0.0475482124339),0.776815776816 (0.0794248175484),0.835636615079 (0.00209238703134),0.701149547489 (0.00730328019494),0.485792558097 (0.00873144717266),0.403226924008 (0.00484502725963),0.101650191131 (0.0031479251672),0.00688235678052 (0.000646916564521),0.00309686204151 (0.00100591705542),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=20, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.28146203843 (0.00386000559028),0.362671364503 (0.00411139812912),0.432839051695 (0.00919769614677),0.419624047055 (0.0079663211976),0.175468088321 (0.00420928449218),0.0136336456845 (0.00127672787013),0.00616532019313 (0.00199172892322),0.225072224935 (0.00101103797259),2.00498104095 (0.00758859406913)
47,0.855586275983 (0.002005174836),0.936233333333 (0.000122565175406),0.170076225963 (0.00338568551065),0.243199878543 (0.00242378681753),0.389044284958 (0.0095492851553),0.43547000132 (0.0105845723905),0.637322251384 (0.0150265325924),0.658194759385 (0.0855201639229),0.679962013295 (0.11056390771),0.838228165703 (0.00149216686456),0.696562625924 (0.00552904976239),0.483117834131 (0.00529548251136),0.40044241898 (0.00431705635726),0.106621752547 (0.000201276686185),0.00987013887761 (0.00102186811708),0.00518534366491 (0.000602100483632),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=20, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.282760454183 (0.00465078496964),0.360521578909 (0.00322958565042),0.430985260423 (0.00787320223668),0.417200912353 (0.00712589690068),0.182670949006 (0.000896842173105),0.0194479593436 (0.00201934972844),0.0102919590672 (0.00119816713231),0.224286079407 (0.00242425700257),2.47618452708 (0.0409301999077)
48,0.809715305529 (0.00398714320505),0.93414 (0.000155777619274),0.176111785738 (0.00324967953803),0.221432894824 (0.00493573712617),0.301374845111 (0.00560021986689),0.370323141291 (0.00750607362008),0.525152500291 (0.00591322352408),0.614689265537 (0.0207737585433),0.660864805692 (0.0719435891114),0.74783878411 (0.00673192503897),0.662048724012 (0.00612290334161),0.527779570052 (0.00939328858636),0.416403961119 (0.00315964861758),0.153117243816 (0.00432071066269),0.0207412355937 (0.0013295493218),0.00459017510266 (0.000760130556602),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=50, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.285082718364 (0.00472748191495),0.331854791457 (0.0062492932159),0.383659661792 (0.00682557741279),0.391997967004 (0.0055783235622),0.23704122657 (0.00469145672659),0.0401272872851 (0.00253180889334),0.00911511690915 (0.00150026909798),0.107371807098 (0.000484859260143),0.647742827733 (0.00380276240689)
49,0.802153445736 (0.00291229261812),0.932433333333 (0.000333599893419),0.17896054319 (0.00215549194941),0.219815017948 (0.00233487670289),0.294524119905 (0.00455873385146),0.348996625909 (0.00579682137437),0.481733129945 (0.00260405122883),0.574488317727 (0.031941262645),0.528321678322 (0.0549615057261),0.728077887108 (0.00567340780515),0.650381316888 (0.0054981985156),0.524513916097 (0.00437182887462),0.417121374419 (0.00263454299507),0.166603453936 (0.00713718246328),0.034119559404 (0.0016386766192),0.00897567090204 (0.000199671076955),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=50, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.287301248277 (0.00319806575166),0.328574136254 (0.00313903499247),0.377220684408 (0.00475413981945),0.380011019527 (0.0041126503264),0.247487085385 (0.00773390800554),0.064384537099 (0.00281130654083),0.0176488111163 (0.00040297794289),0.107225259145 (4.58021610051e-05),0.883059183757 (0.0534966924405)
50,0.826768981633 (0.00191164940159),0.934713333333 (0.000343446583264),0.167297143316 (0.00176671471768),0.217136813455 (0.00204530960588),0.323925320198 (0.00741644265999),0.375717148277 (0.00757298234981),0.5365000995 (0.00864138655635),0.637411294946 (0.0131788300282),0.627192982456 (0.0613157267274),0.790546854015 (0.0035959778235),0.69488945372 (0.00218830283528),0.516233915148 (0.00474769333347),0.431459481322 (0.00368301827286),0.152921035875 (0.00408979225741),0.0135591245419 (0.00133646417288),0.00369241592869 (0.000392890475015),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=50, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.276151901818 (0.00258922204608),0.330878627571 (0.00262102741112),0.398047427282 (0.00684194492803),0.401632166153 (0.00526999279379),0.237935953033 (0.00437623930984),0.0265500609333 (0.00257556158442),0.00734158158388 (0.000780681037236),0.21165060997 (0.000503778664504),1.20565875371 (0.057830289004)
51,0.81725034695 (0.00250427219486),0.9335 (0.000297993288515),0.170555242246 (0.0022931703289),0.217606249836 (0.00213199645638),0.308357133824 (0.00448310192354),0.35685523549 (0.00648232870466),0.497522262363 (0.00370527610609),0.547144200146 (0.0201630720058),0.522068672402 (0.0710809123284),0.765796398306 (0.00250017294676),0.675430478087 (0.00328383331726),0.506849864888 (0.00629912493159),0.430357390509 (0.00469099945737),0.172962716394 (0.00412323722699),0.0234437927869 (0.00169198435764),0.00838340821327 (0.00110806788528),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=50, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.278972985896 (0.00321714316681),0.329162630583 (0.00281844196881),0.383431273804 (0.00502303007116),0.390152387629 (0.00520093267148),0.256640136274 (0.004075597726),0.0449587879615 (0.00318034980558),0.0164994088401 (0.0021740767557),0.213157018026 (0.000613663373646),1.58314402898 (0.0123497865299)
52,0.835618858835 (0.00319560291404),0.935186666667 (0.000333199973323),0.162743280271 (0.00141003457465),0.227409627613 (0.00263616808946),0.335221498584 (0.0064904985473),0.379987719956 (0.0105244605678),0.553054067209 (0.0059549594746),0.629490106545 (0.00343268128199),0.713293650794 (0.0519106168728),0.812792400367 (0.0011401179142),0.687689206311 (0.00446291036438),0.511934915762 (0.00685294172706),0.43933047133 (0.00532149760886),0.145528819098 (0.0058464452869),0.0118661732746 (0.00136374102217),0.00379368796853 (0.000726246326925),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=50, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.271183882868 (0.00191238413817),0.341787968643 (0.00336380084487),0.405132832347 (0.0065572483707),0.407469717052 (0.00791052006309),0.230366391885 (0.00747396937776),0.0232878492528 (0.00262520988626),0.00754482306021 (0.00143362706249),0.323309659958 (0.00317798229897),2.36098599434 (0.0289771164518)
53,0.827123652581 (0.00297753127544),0.933413333333 (0.000542176682969),0.167173735996 (0.00231475340664),0.228450713589 (0.00338514801531),0.321928145502 (0.00551400536633),0.358450322265 (0.00476490316788),0.502013472539 (0.0157252028873),0.546011882854 (0.0271156137301),0.504487179487 (0.0949453976444),0.787161267273 (0.00233232128037),0.675115215199 (0.00612012621142),0.501967042302 (0.00545435747663),0.434856028101 (0.00260953655542),0.16308883146 (0.00510429063599),0.0221485070992 (0.00191686946437),0.00758086307323 (0.000927438890186),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=50, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.27577163301 (0.00318252396311),0.341370571017 (0.0041958985292),0.392265718755 (0.00550559011209),0.392967265711 (0.00385682059057),0.246127011729 (0.00657630837667),0.0425668505368 (0.0036146325838),0.0149356769985 (0.0018398610524),0.325900316238 (0.00160252153627),3.14737017949 (0.0314943152958)
54,0.847151983077 (0.00177979545398),0.933626666667 (0.000190671328614),0.138014943146 (0.00306517081519),0.232375279866 (0.00264978204919),0.486840170765 (0.00691791635711),0.573234512617 (0.0136718008802),0.679244908097 (0.0694932569556),0.644781144781 (0.133390288145),0.518518518519 (0.409087445081),0.880897398897 (0.00725065405858),0.688447809897 (0.0121913186953),0.317059608977 (0.00389177337547),0.192188863705 (0.00717076344113),0.0135637107811 (0.000217957429923),0.00219917240053 (0.00100153075861),0.000601750959061 (0.000651262719838),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='entropy',
           max_depth=10, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.238614862972 (0.00431723855223),0.347455881444 (0.00414821182713),0.383987010802 (0.00345618501598),0.287763461796 (0.00822390340295),0.0265921957504 (0.000470285277716),0.0043780337025 (0.00198375197943),nan (nan),0.108061552048 (0.000163726165783),0.354769229889 (0.0184310584546)
55,0.846336579572 (0.00267727133704),0.933673333333 (0.000196185852927),0.138876016015 (0.00770185371321),0.229732411909 (0.00580859708145),0.481306247343 (0.0200301470561),0.562710438675 (0.0246088184657),0.700058541154 (0.0960403620691),0.674603174603 (0.145910923102),0.388888888889 (0.283278861866),0.881582783843 (0.0064618060358),0.684798741598 (0.00480935294641),0.315451724777 (0.0224280251477),0.17727458508 (0.0177234460802),0.0135606281817 (0.00193803485747),0.00219542634421 (0.000289827107997),0.000300455388106 (0.000246009672979),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',
           max_depth=10, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.239842790348 (0.0113331015451),0.343999091599 (0.00647256172995),0.379972460167 (0.010587517838),0.268724421241 (0.0190805825703),0.0266009724808 (0.00378705748654),0.00437497572693 (0.000573614647364),nan (nan),0.108126004537 (1.21668769446e-05),0.333293755849 (0.000933035390438)
